Comunidades y Ciudades Autónomas;Grupo de edad;Periodo;Total
Castilla y León;De 35 a 39 años;2023;76,62
Castilla y León;De 35 a 39 años;2022;79
Castilla y León;De 35 a 39 años;2021;79,82
Castilla y León;De 40 a 44 años;2023;80,05
Castilla y León;De 40 a 44 años;2022;76,93
Castilla y León;De 40 a 44 años;2021;80,38
Castilla y León;De 45 a 49 años;2023;77,01
Castilla y León;De 45 a 49 años;2022;78,12
Castilla y León;De 45 a 49 años;2021;76,34
Castilla y León;De 50 a 54 años;2023;76,18
Castilla y León;De 50 a 54 años;2022;73,7
Castilla y León;De 50 a 54 años;2021;72
Castilla y León;De 55 a 64 años;2023;57,49
Castilla y León;De 55 a 64 años;2022;56,16
Castilla y León;De 55 a 64 años;2021;54,04
Castilla - La Mancha;De 20 a 24 años;2023;34,47
Castilla - La Mancha;De 20 a 24 años;2022;36,12
Castilla - La Mancha;De 20 a 24 años;2021;35,2
Castilla - La Mancha;De 25 a 29 años;2023;70,13
Castilla - La Mancha;De 25 a 29 años;2022;67,88
Castilla - La Mancha;De 25 a 29 años;2021;64,02
Castilla - La Mancha;De 30 a 34 años;2023;78,01
Castilla - La Mancha;De 30 a 34 años;2022;80,92
Castilla - La Mancha;De 30 a 34 años;2021;76,52
Castilla - La Mancha;De 35 a 39 años;2023;82,65
Castilla - La Mancha;De 35 a 39 años;2022;84,07
Castilla - La Mancha;De 35 a 39 años;2021;81,23
Castilla - La Mancha;De 40 a 44 años;2023;84,08
Castilla - La Mancha;De 40 a 44 años;2022;83,87
Castilla - La Mancha;De 40 a 44 años;2021;82,03
Castilla - La Mancha;De 45 a 49 años;2023;84,56
Castilla - La Mancha;De 45 a 49 años;2022;82,76
Castilla - La Mancha;De 45 a 49 años;2021;79,7
Castilla - La Mancha;De 50 a 54 años;2023;79,19
Castilla - La Mancha;De 50 a 54 años;2022;78,03
Castilla - La Mancha;De 50 a 54 años;2021;76,53
Castilla - La Mancha;De 55 a 64 años;2023;63,48
Castilla - La Mancha;De 55 a 64 años;2022;62,88
Castilla - La Mancha;De 55 a 64 años;2021;59,14
Cataluña;De 20 a 24 años;2023;52,55
Cataluña;De 20 a 24 años;2022;51,04
Cataluña;De 20 a 24 años;2021;46,13
Cataluña;De 25 a 29 años;2023;76,48
Cataluña;De 25 a 29 años;2022;74,64
Cataluña;De 25 a 29 años;2021;73,64
Cataluña;De 30 a 34 años;2023;79,51
Cataluña;De 30 a 34 años;2022;82,3
Cataluña;De 30 a 34 años;2021;78,57
Cataluña;De 35 a 39 años;2023;81,05
Cataluña;De 35 a 39 años;2022;80,23
Cataluña;De 35 a 39 años;2021;78,97
Cataluña;De 40 a 44 años;2023;84,12
Cataluña;De 40 a 44 años;2022;83,29
Cataluña;De 40 a 44 años;2021;82,56
Cataluña;De 45 a 49 años;2023;82,64
Cataluña;De 45 a 49 años;2022;83,47
Cataluña;De 45 a 49 años;2021;83,46
Cataluña;De 50 a 54 años;2023;81,51
Cataluña;De 50 a 54 años;2022;78,55
Cataluña;De 50 a 54 años;2021;79,14
Cataluña;De 55 a 64 años;2023;65,32
Cataluña;De 55 a 64 años;2022;61,16
Cataluña;De 55 a 64 años;2021;60,02
Comunitat Valenciana;De 20 a 24 años;2023;44,46
Comunitat Valenciana;De 20 a 24 años;2022;42,14
Comunitat Valenciana;De 20 a 24 años;2021;35,72
Comunitat Valenciana;De 25 a 29 años;2023;74,79
Comunitat Valenciana;De 25 a 29 años;2022;69,64
Comunitat Valenciana;De 25 a 29 años;2021;62,48
Comunitat Valenciana;De 30 a 34 años;2023;77,67
Comunitat Valenciana;De 30 a 34 años;2022;74,69
Comunitat Valenciana;De 30 a 34 años;2021;71,68
Comunitat Valenciana;De 35 a 39 años;2023;77,74
Comunitat Valenciana;De 35 a 39 años;2022;77,58
Comunitat Valenciana;De 35 a 39 años;2021;74,69
Comunitat Valenciana;De 40 a 44 años;2023;80,51
Comunitat Valenciana;De 40 a 44 años;2022;80,59
Comunitat Valenciana;De 40 a 44 años;2021;79,59
Comunitat Valenciana;De 45 a 49 años;2023;79,5
Comunitat Valenciana;De 45 a 49 años;2022;80,74
Comunitat Valenciana;De 45 a 49 años;2021;75,65
Comunitat Valenciana;De 50 a 54 años;2023;74,66
Comunitat Valenciana;De 50 a 54 años;2022;71,42
Comunitat Valenciana;De 50 a 54 años;2021;71,47
Comunitat Valenciana;De 55 a 64 años;2023;59,49
Comunitat Valenciana;De 55 a 64 años;2022;58,54
Comunitat Valenciana;De 55 a 64 años;2021;54,29
Extremadura;De 20 a 24 años;2023;30,08
Extremadura;De 20 a 24 años;2022;29,1
Extremadura;De 20 a 24 años;2021;26,13
Extremadura;De 25 a 29 años;2023;62,8
Extremadura;De 25 a 29 años;2022;67,68
Extremadura;De 25 a 29 años;2021;57,28
Extremadura;De 30 a 34 años;2023;76,72
Extremadura;De 30 a 34 años;2022;74,9
Extremadura;De 30 a 34 años;2021;71,51
Extremadura;De 35 a 39 años;2023;79,2
Extremadura;De 35 a 39 años;2022;74,44
Extremadura;De 35 a 39 años;2021;74,03
Extremadura;De 40 a 44 años;2023;80,13
Extremadura;De 40 a 44 años;2022;76,62
Extremadura;De 40 a 44 años;2021;75,73
Extremadura;De 45 a 49 años;2023;73,62
Extremadura;De 45 a 49 años;2022;75,24
Extremadura;De 45 a 49 años;2021;74,51
Extremadura;De 50 a 54 años;2023;69,17
Extremadura;De 50 a 54 años;2022;67,85
Extremadura;De 50 a 54 años;2021;66,67
Extremadura;De 55 a 64 años;2023;52,66
Extremadura;De 55 a 64 años;2022;50,45
Extremadura;De 55 a 64 años;2021;46,92
Galicia;De 20 a 24 años;2023;35,91
Galicia;De 20 a 24 años;2022;29,8
Galicia;De 20 a 24 años;2021;27,96
Galicia;De 25 a 29 años;2023;70,93
Galicia;De 25 a 29 años;2022;66,9
Galicia;De 25 a 29 años;2021;63,45
Galicia;De 30 a 34 años;2023;78,36
Galicia;De 30 a 34 años;2022;75,41
Galicia;De 30 a 34 años;2021;72,63
Galicia;De 35 a 39 años;2023;80,44
Galicia;De 35 a 39 años;2022;81,44
Galicia;De 35 a 39 años;2021;81,37
Galicia;De 40 a 44 años;2023;83,21
Galicia;De 40 a 44 años;2022;82,48
Galicia;De 40 a 44 años;2021;81,06
Galicia;De 45 a 49 años;2023;80,98
Galicia;De 45 a 49 años;2022;80,48
Galicia;De 45 a 49 años;2021;78,43
Galicia;De 50 a 54 años;2023;75,42
Galicia;De 50 a 54 años;2022;75,69
Galicia;De 50 a 54 años;2021;74,63
Galicia;De 55 a 64 años;2023;59,01
Galicia;De 55 a 64 años;2022;56,5
Galicia;De 55 a 64 años;2021;56,37
Madrid, Comunidad de;De 20 a 24 años;2023;42,05
Madrid, Comunidad de;De 20 a 24 años;2022;43,79
Madrid, Comunidad de;De 20 a 24 años;2021;42,23
Madrid, Comunidad de;De 25 a 29 años;2023;76,1
Madrid, Comunidad de;De 25 a 29 años;2022;77,98
Madrid, Comunidad de;De 25 a 29 años;2021;74,97
Madrid, Comunidad de;De 30 a 34 años;2023;82,58
Madrid, Comunidad de;De 30 a 34 años;2022;81,4
Madrid, Comunidad de;De 30 a 34 años;2021;81,29
Madrid, Comunidad de;De 35 a 39 años;2023;85,97
Madrid, Comunidad de;De 35 a 39 años;2022;81,63
Madrid, Comunidad de;De 35 a 39 años;2021;81,6
Madrid, Comunidad de;De 40 a 44 años;2023;85,14
Madrid, Comunidad de;De 40 a 44 años;2022;82,36
Madrid, Comunidad de;De 40 a 44 años;2021;83,43
Madrid, Comunidad de;De 45 a 49 años;2023;84,81
Madrid, Comunidad de;De 45 a 49 años;2022;83,27
Madrid, Comunidad de;De 45 a 49 años;2021;82,55
Madrid, Comunidad de;De 50 a 54 años;2023;80,67
Madrid, Comunidad de;De 50 a 54 años;2022;78,92
Madrid, Comunidad de;De 50 a 54 años;2021;80,12
Madrid, Comunidad de;De 55 a 64 años;2023;65,81
Madrid, Comunidad de;De 55 a 64 años;2022;64,83
Madrid, Comunidad de;De 55 a 64 años;2021;63,15
Murcia, Región de;De 20 a 24 años;2023;40,14
Murcia, Región de;De 20 a 24 años;2022;38,92
Murcia, Región de;De 20 a 24 años;2021;38,04
Murcia, Región de;De 25 a 29 años;2023;65,24
Murcia, Región de;De 25 a 29 años;2022;67,2
Murcia, Región de;De 25 a 29 años;2021;63,64
Murcia, Región de;De 30 a 34 años;2023;74,7
Murcia, Región de;De 30 a 34 años;2022;71,89
Murcia, Región de;De 30 a 34 años;2021;74,1
Murcia, Región de;De 35 a 39 años;2023;78,08
Murcia, Región de;De 35 a 39 años;2022;73,96
Murcia, Región de;De 35 a 39 años;2021;75,19
Murcia, Región de;De 40 a 44 años;2023;76,83
Murcia, Región de;De 40 a 44 años;2022;78,82
Murcia, Región de;De 40 a 44 años;2021;80,91
Murcia, Región de;De 45 a 49 años;2023;76,58
Murcia, Región de;De 45 a 49 años;2022;76,17
Murcia, Región de;De 45 a 49 años;2021;74
Murcia, Región de;De 50 a 54 años;2023;76,24
Murcia, Región de;De 50 a 54 años;2022;71,96
